Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9880000000000001,0.99,0.99,0.45600000000000007,0.43,0.49
1,1,0.99,0.99,0.99,0.454,0.4125,0.485
2,2,0.9880000000000001,0.99,0.99,0.45599999999999996,0.4125,0.4925
3,3,0.9870000000000001,0.9824999999999999,0.99,0.45500000000000007,0.41,0.495
4,4,0.9870000000000001,0.9824999999999999,0.99,0.458,0.41,0.48
5,5,0.9880000000000001,0.99,0.99,0.45199999999999996,0.41,0.4775
6,6,0.9870000000000001,0.98,0.99,0.45000000000000007,0.41,0.47
7,7,0.9880000000000001,0.9824999999999999,0.99,0.45,0.41,0.4775
8,8,0.9880000000000001,0.9824999999999999,0.99,0.45,0.405,0.485
9,9,0.9890000000000001,0.99,0.99,0.446,0.405,0.46749999999999997
10,10,0.9880000000000001,0.9824999999999999,0.99,0.441,0.39749999999999996,0.46749999999999997
11,11,0.9880000000000001,0.9824999999999999,0.99,0.441,0.39499999999999996,0.4575
12,12,0.9880000000000001,0.9824999999999999,0.99,0.43899999999999995,0.39249999999999996,0.45
13,13,0.9880000000000001,0.9824999999999999,0.99,0.43600000000000005,0.39249999999999996,0.45
14,14,0.9880000000000001,0.9824999999999999,0.99,0.43200000000000005,0.39249999999999996,0.4575
15,15,0.9880000000000001,0.9824999999999999,0.99,0.43100000000000005,0.4025,0.445
16,16,0.9880000000000001,0.99,0.99,0.42699999999999994,0.4025,0.445
17,17,0.9890000000000001,0.99,0.99,0.429,0.4025,0.4475
18,18,0.99,0.99,0.99,0.42600000000000005,0.39249999999999996,0.4475
19,19,0.99,0.99,0.99,0.421,0.39249999999999996,0.445
20,20,0.99,0.99,0.99,0.421,0.39249999999999996,0.445
21,21,0.9890000000000001,0.99,0.99,0.42400000000000004,0.39249999999999996,0.445
22,22,0.99,0.99,0.99,0.41900000000000004,0.39,0.435
23,23,0.9890000000000001,0.99,0.99,0.42200000000000004,0.39249999999999996,0.4375
24,24,0.9890000000000001,0.99,0.99,0.418,0.39,0.43
25,25,0.9890000000000001,0.99,0.99,0.418,0.39,0.42
26,26,0.9890000000000001,0.99,0.99,0.42000000000000004,0.385,0.4275
27,27,0.99,0.99,0.99,0.42000000000000004,0.385,0.43
28,28,0.99,0.99,0.99,0.41899999999999993,0.39,0.425
29,29,0.9880000000000001,0.9824999999999999,0.99,0.41899999999999993,0.39249999999999996,0.425
30,30,0.9890000000000001,0.99,0.99,0.42299999999999993,0.39249999999999996,0.435
31,31,0.9890000000000001,0.99,0.99,0.41899999999999993,0.39,0.4275
32,32,0.99,0.99,0.99,0.421,0.39249999999999996,0.4275
33,33,0.99,0.99,0.99,0.42200000000000004,0.4,0.4275
34,34,0.9890000000000001,0.99,0.99,0.42200000000000004,0.4025,0.4275
35,35,0.9890000000000001,0.99,0.99,0.42000000000000004,0.4,0.42
36,36,0.9880000000000001,0.9824999999999999,0.99,0.422,0.39249999999999996,0.4275
37,37,0.99,0.99,0.99,0.421,0.4,0.425
38,38,0.99,0.99,0.99,0.417,0.4,0.425
39,39,0.99,0.99,0.99,0.41900000000000004,0.4,0.4275
40,40,0.99,0.99,0.99,0.418,0.39249999999999996,0.43
41,41,0.99,0.99,0.99,0.42299999999999993,0.4025,0.4375
42,42,0.99,0.99,0.99,0.422,0.4025,0.4375
43,43,0.99,0.99,0.99,0.421,0.4,0.4375
44,44,0.99,0.99,0.99,0.421,0.4025,0.4375
45,45,0.991,0.99,0.99,0.41900000000000004,0.4,0.445
46,46,0.99,0.99,0.99,0.42000000000000004,0.4025,0.4375
47,47,0.9890000000000001,0.99,0.99,0.42300000000000004,0.41,0.4375
48,48,0.9890000000000001,0.99,0.99,0.42200000000000004,0.41,0.4375
49,49,0.9890000000000001,0.99,0.99,0.42000000000000004,0.41,0.45
50,50,0.99,0.99,0.99,0.421,0.41,0.4425
51,51,0.9890000000000001,0.99,0.99,0.42000000000000004,0.41,0.4425
52,52,0.9890000000000001,0.99,0.99,0.41900000000000004,0.41,0.4425
53,53,0.9890000000000001,0.99,0.99,0.41600000000000004,0.4,0.4425
54,54,0.9890000000000001,0.99,0.99,0.41600000000000004,0.4,0.44
55,55,0.9890000000000001,0.99,0.99,0.413,0.4,0.44
56,56,0.9890000000000001,0.99,0.99,0.414,0.4,0.4425
57,57,0.9890000000000001,0.99,0.99,0.413,0.39499999999999996,0.44
58,58,0.9890000000000001,0.99,0.99,0.41200000000000003,0.39499999999999996,0.435
59,59,0.9890000000000001,0.99,0.99,0.41,0.385,0.44
60,60,0.9890000000000001,0.99,0.99,0.41100000000000003,0.385,0.4425
61,61,0.9890000000000001,0.99,0.99,0.413,0.3875,0.435
62,62,0.9890000000000001,0.99,0.99,0.41500000000000004,0.3875,0.4425
63,63,0.9890000000000001,0.99,0.99,0.417,0.39249999999999996,0.45
64,64,0.9890000000000001,0.99,0.99,0.418,0.39249999999999996,0.45
65,65,0.9890000000000001,0.99,0.99,0.4169999999999999,0.39249999999999996,0.45
66,66,0.9890000000000001,0.99,0.99,0.41500000000000004,0.39249999999999996,0.44
67,67,0.9890000000000001,0.99,0.99,0.413,0.39249999999999996,0.44
68,68,0.9890000000000001,0.99,0.99,0.41600000000000004,0.39249999999999996,0.44
69,69,0.9890000000000001,0.99,0.99,0.414,0.39249999999999996,0.44
70,70,0.9890000000000001,0.99,0.99,0.4159999999999999,0.39249999999999996,0.44
71,71,0.9890000000000001,0.99,0.99,0.417,0.39249999999999996,0.44
72,72,0.9890000000000001,0.99,0.99,0.4149999999999999,0.385,0.4475
73,73,0.9890000000000001,0.99,0.99,0.41600000000000004,0.39249999999999996,0.44
74,74,0.9890000000000001,0.99,0.99,0.4149999999999999,0.385,0.4475
75,75,0.9890000000000001,0.99,0.99,0.4149999999999999,0.39249999999999996,0.4475
76,76,0.9890000000000001,0.99,0.99,0.413,0.39,0.4475
77,77,0.9890000000000001,0.99,0.99,0.413,0.39,0.44
78,78,0.9890000000000001,0.99,0.99,0.413,0.39,0.44
79,79,0.9890000000000001,0.99,0.99,0.4149999999999999,0.39,0.44
80,80,0.9890000000000001,0.99,0.99,0.41400000000000003,0.39,0.4375
81,81,0.9890000000000001,0.99,0.99,0.413,0.39,0.43
82,82,0.9890000000000001,0.99,0.99,0.41400000000000003,0.39,0.43
83,83,0.9890000000000001,0.99,0.99,0.413,0.38250000000000006,0.43
84,84,0.9890000000000001,0.99,0.99,0.413,0.38250000000000006,0.43
85,85,0.9890000000000001,0.99,0.99,0.41400000000000003,0.39,0.43
86,86,0.9890000000000001,0.99,0.99,0.413,0.38250000000000006,0.43
87,87,0.9890000000000001,0.99,0.99,0.41500000000000004,0.39,0.43
