Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9720000000000001,0.9624999999999999,0.98,0.152,0.135,0.1575
1,1,0.9700000000000001,0.9624999999999999,0.98,0.148,0.1325,0.1575
2,2,0.9730000000000001,0.9624999999999999,0.9874999999999999,0.145,0.1325,0.1575
3,3,0.9669999999999999,0.96,0.98,0.143,0.1325,0.15
4,4,0.9640000000000001,0.96,0.97,0.141,0.13,0.1475
5,5,0.9629999999999999,0.96,0.97,0.139,0.13,0.14
6,6,0.9640000000000001,0.96,0.97,0.13999999999999999,0.13,0.1475
7,7,0.9649999999999999,0.96,0.9775,0.13699999999999998,0.13,0.1475
8,8,0.961,0.96,0.97,0.13299999999999998,0.12,0.14
9,9,0.961,0.9524999999999999,0.97,0.13199999999999998,0.12,0.14
10,10,0.961,0.96,0.97,0.13199999999999998,0.12,0.14
11,11,0.9579999999999999,0.945,0.97,0.12999999999999998,0.12,0.14
12,12,0.9600000000000002,0.9524999999999999,0.97,0.131,0.12,0.14
13,13,0.959,0.9524999999999999,0.97,0.131,0.12,0.14
14,14,0.959,0.945,0.97,0.127,0.1125,0.13
15,15,0.959,0.9524999999999999,0.97,0.127,0.1125,0.13
16,16,0.9579999999999999,0.945,0.97,0.127,0.12,0.13
17,17,0.9600000000000002,0.96,0.97,0.12599999999999997,0.12,0.13
18,18,0.9620000000000001,0.9624999999999999,0.97,0.127,0.12,0.13
19,19,0.9600000000000002,0.9524999999999999,0.97,0.12399999999999997,0.1125,0.13
20,20,0.961,0.96,0.97,0.123,0.1125,0.13
21,21,0.9580000000000002,0.945,0.97,0.119,0.11,0.1275
22,22,0.961,0.96,0.9775,0.11999999999999997,0.11,0.13
23,23,0.9599999999999997,0.96,0.9775,0.119,0.11,0.1275
24,24,0.959,0.9524999999999999,0.9775,0.119,0.11,0.1275
25,25,0.9570000000000001,0.9524999999999999,0.97,0.119,0.11,0.1275
26,26,0.9579999999999999,0.9524999999999999,0.97,0.119,0.11,0.1275
27,27,0.959,0.95,0.97,0.11799999999999997,0.11,0.1275
28,28,0.9580000000000002,0.95,0.97,0.11799999999999997,0.11,0.1275
29,29,0.9600000000000002,0.96,0.97,0.11699999999999999,0.11,0.1275
30,30,0.9600000000000002,0.96,0.97,0.11499999999999999,0.10250000000000001,0.1275
31,31,0.9620000000000001,0.96,0.97,0.11400000000000002,0.1,0.1275
32,32,0.9629999999999999,0.96,0.97,0.11400000000000002,0.1,0.1275
33,33,0.9640000000000001,0.9624999999999999,0.97,0.11299999999999999,0.1,0.1275
34,34,0.9640000000000001,0.9624999999999999,0.97,0.11400000000000002,0.1,0.1275
35,35,0.9649999999999999,0.9624999999999999,0.9775,0.11299999999999999,0.1,0.12
