Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.891,0.87,0.91,0.465,0.4125,0.5025
1,1,0.893,0.875,0.91,0.466,0.39749999999999996,0.5
2,2,0.898,0.89,0.91,0.4590000000000001,0.39749999999999996,0.49
3,3,0.9,0.89,0.91,0.4590000000000001,0.405,0.4975
4,4,0.891,0.875,0.91,0.45600000000000007,0.405,0.5025
5,5,0.8930000000000001,0.875,0.91,0.44699999999999995,0.39749999999999996,0.4775
6,6,0.8859999999999999,0.87,0.91,0.44400000000000006,0.38249999999999995,0.47
7,7,0.8859999999999999,0.8475,0.91,0.43600000000000005,0.37999999999999995,0.4575
8,8,0.8879999999999999,0.8475,0.925,0.438,0.385,0.46749999999999997
9,9,0.8960000000000001,0.8525,0.925,0.43999999999999995,0.385,0.47
10,10,0.8859999999999999,0.8475,0.91,0.438,0.38250000000000006,0.4775
11,11,0.8819999999999999,0.84,0.925,0.438,0.38250000000000006,0.4775
12,12,0.891,0.87,0.91,0.44099999999999995,0.39,0.4825
13,13,0.8889999999999999,0.87,0.925,0.43499999999999994,0.38250000000000006,0.475
14,14,0.884,0.87,0.925,0.43499999999999994,0.39249999999999996,0.47
15,15,0.8909999999999998,0.87,0.925,0.44099999999999995,0.3875,0.46499999999999997
16,16,0.885,0.8475,0.91,0.4419999999999999,0.385,0.475
17,17,0.89,0.87,0.925,0.43899999999999995,0.39249999999999996,0.4725
18,18,0.882,0.84,0.91,0.43599999999999994,0.39249999999999996,0.46249999999999997
19,19,0.884,0.84,0.925,0.43200000000000005,0.38250000000000006,0.46249999999999997
20,20,0.885,0.8475,0.91,0.43,0.38250000000000006,0.46249999999999997
21,21,0.8939999999999999,0.87,0.925,0.43199999999999994,0.385,0.46249999999999997
22,22,0.889,0.84,0.925,0.433,0.39249999999999996,0.46
23,23,0.89,0.8475,0.925,0.43200000000000005,0.39249999999999996,0.45
24,24,0.8939999999999999,0.8475,0.925,0.43,0.385,0.45
25,25,0.893,0.8475,0.925,0.429,0.385,0.4575
26,26,0.9,0.87,0.93,0.43,0.37999999999999995,0.46499999999999997
27,27,0.9099999999999999,0.875,0.93,0.43100000000000005,0.37999999999999995,0.46749999999999997
28,28,0.901,0.88,0.925,0.43,0.37749999999999995,0.46749999999999997
29,29,0.901,0.88,0.925,0.42899999999999994,0.375,0.475
30,30,0.9059999999999999,0.88,0.93,0.43199999999999994,0.38250000000000006,0.48
31,31,0.9039999999999999,0.88,0.925,0.429,0.37749999999999995,0.46499999999999997
32,32,0.9039999999999999,0.88,0.925,0.429,0.37999999999999995,0.4725
33,33,0.9039999999999999,0.88,0.93,0.43,0.38250000000000006,0.4725
34,34,0.9100000000000001,0.88,0.9525,0.42800000000000005,0.39249999999999996,0.4725
35,35,0.9069999999999998,0.88,0.93,0.42699999999999994,0.38250000000000006,0.4725
36,36,0.9069999999999998,0.88,0.93,0.426,0.38,0.4725
37,37,0.9119999999999997,0.88,0.9525,0.429,0.385,0.4725
38,38,0.9119999999999997,0.88,0.9525,0.42899999999999994,0.3875,0.475
39,39,0.9119999999999997,0.88,0.9525,0.43,0.37999999999999995,0.4725
40,40,0.9119999999999997,0.88,0.9525,0.42700000000000005,0.37999999999999995,0.46249999999999997
41,41,0.9100000000000001,0.895,0.9525,0.42800000000000005,0.3875,0.47
42,42,0.9120000000000001,0.895,0.9525,0.429,0.3875,0.46499999999999997
43,43,0.917,0.91,0.93,0.42800000000000005,0.39249999999999996,0.46249999999999997
44,44,0.914,0.91,0.93,0.4250000000000001,0.39249999999999996,0.455
45,45,0.9119999999999999,0.91,0.93,0.426,0.39249999999999996,0.46249999999999997
46,46,0.908,0.895,0.93,0.42399999999999993,0.39,0.46249999999999997
47,47,0.9099999999999999,0.895,0.93,0.42299999999999993,0.39,0.455
48,48,0.9120000000000001,0.895,0.93,0.42000000000000004,0.38250000000000006,0.455
49,49,0.916,0.91,0.93,0.42299999999999993,0.38250000000000006,0.4575
50,50,0.9190000000000002,0.91,0.93,0.422,0.38250000000000006,0.4575
51,51,0.914,0.91,0.93,0.42099999999999993,0.38,0.4575
52,52,0.908,0.91,0.925,0.421,0.38,0.46249999999999997
53,53,0.9099999999999999,0.895,0.93,0.41899999999999993,0.38,0.46249999999999997
54,54,0.9129999999999999,0.895,0.93,0.421,0.37249999999999994,0.4725
55,55,0.9109999999999999,0.895,0.93,0.422,0.38250000000000006,0.46249999999999997
56,56,0.9109999999999999,0.895,0.93,0.42400000000000004,0.375,0.46499999999999997
57,57,0.9110000000000001,0.89,0.93,0.42799999999999994,0.37749999999999995,0.475
58,58,0.9110000000000001,0.89,0.93,0.42799999999999994,0.37749999999999995,0.475
59,59,0.914,0.89,0.9525,0.429,0.39,0.475
60,60,0.916,0.89,0.9525,0.42799999999999994,0.39,0.475
61,61,0.916,0.89,0.9525,0.426,0.39,0.475
