Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9120000000000001,0.895,0.93,0.327,0.3125,0.36
1,1,0.9109999999999999,0.89,0.9525,0.327,0.3125,0.35500000000000004
2,2,0.907,0.89,0.9475,0.323,0.3025,0.35750000000000004
3,3,0.9120000000000001,0.89,0.9525,0.32100000000000006,0.3025,0.3475
4,4,0.907,0.89,0.925,0.313,0.28250000000000003,0.3375
5,5,0.909,0.89,0.93,0.31100000000000005,0.29,0.34
6,6,0.909,0.89,0.93,0.30599999999999994,0.28,0.3375
7,7,0.9109999999999999,0.89,0.93,0.303,0.275,0.335
8,8,0.9119999999999999,0.89,0.9525,0.30300000000000005,0.275,0.3275
9,9,0.916,0.895,0.9525,0.3,0.2675,0.3325
10,10,0.914,0.89,0.9525,0.296,0.265,0.325
11,11,0.914,0.89,0.9525,0.296,0.265,0.325
12,12,0.916,0.89,0.9525,0.296,0.2725,0.325
13,13,0.914,0.895,0.9525,0.29100000000000004,0.27,0.3175
14,14,0.907,0.89,0.93,0.28600000000000003,0.27,0.3075
15,15,0.9099999999999999,0.89,0.9475,0.288,0.2725,0.3
16,16,0.9120000000000001,0.89,0.9525,0.28500000000000003,0.27,0.3
17,17,0.915,0.89,0.9525,0.284,0.2625,0.3
18,18,0.9149999999999998,0.89,0.9525,0.283,0.2625,0.3
19,19,0.908,0.875,0.93,0.27999999999999997,0.2525,0.3
20,20,0.9149999999999998,0.89,0.9525,0.27899999999999997,0.2525,0.3
21,21,0.9059999999999999,0.875,0.925,0.281,0.2525,0.2975
22,22,0.9019999999999999,0.89,0.925,0.27599999999999997,0.2525,0.2875
23,23,0.8999999999999998,0.875,0.925,0.277,0.25,0.2975
24,24,0.899,0.89,0.925,0.275,0.25,0.2875
25,25,0.901,0.89,0.93,0.272,0.25,0.2925
26,26,0.8999999999999998,0.89,0.91,0.272,0.25,0.285
27,27,0.9039999999999999,0.89,0.925,0.26999999999999996,0.2425,0.2875
28,28,0.908,0.89,0.93,0.26599999999999996,0.2425,0.285
29,29,0.9110000000000001,0.89,0.93,0.266,0.2425,0.27
30,30,0.9110000000000001,0.89,0.93,0.266,0.2425,0.28
31,31,0.8999999999999998,0.875,0.91,0.263,0.2425,0.28
32,32,0.8979999999999999,0.875,0.91,0.261,0.2325,0.2775
33,33,0.897,0.89,0.91,0.257,0.23,0.27
34,34,0.899,0.89,0.925,0.257,0.2325,0.27
35,35,0.9019999999999999,0.89,0.925,0.258,0.2325,0.27
36,36,0.8949999999999999,0.89,0.91,0.256,0.2325,0.27
37,37,0.893,0.875,0.91,0.257,0.23500000000000001,0.27
38,38,0.893,0.87,0.91,0.253,0.23,0.27
39,39,0.893,0.87,0.91,0.25,0.23,0.2675
40,40,0.8899999999999999,0.87,0.91,0.252,0.23,0.2675
41,41,0.8939999999999999,0.89,0.91,0.24899999999999997,0.23,0.2675
42,42,0.8899999999999999,0.87,0.91,0.24900000000000003,0.2325,0.26
43,43,0.892,0.87,0.925,0.248,0.2325,0.26
44,44,0.8939999999999999,0.87,0.93,0.24699999999999997,0.23,0.26
45,45,0.8960000000000001,0.875,0.93,0.24699999999999997,0.23,0.26
46,46,0.8939999999999999,0.875,0.925,0.24500000000000002,0.23,0.26
47,47,0.892,0.875,0.91,0.24299999999999997,0.23,0.2575
48,48,0.892,0.875,0.91,0.242,0.23,0.2575
49,49,0.8950000000000001,0.875,0.91,0.24299999999999997,0.2225,0.26
50,50,0.8950000000000001,0.875,0.91,0.242,0.2225,0.26
51,51,0.89,0.875,0.91,0.24000000000000005,0.2225,0.2575
52,52,0.892,0.875,0.91,0.238,0.2225,0.25
53,53,0.89,0.875,0.91,0.238,0.22,0.2575
54,54,0.893,0.875,0.91,0.23700000000000002,0.22,0.25
55,55,0.892,0.875,0.91,0.238,0.22,0.2575
56,56,0.892,0.875,0.91,0.236,0.22,0.25
57,57,0.8939999999999999,0.875,0.91,0.23299999999999996,0.22,0.25
58,58,0.901,0.89,0.925,0.23399999999999999,0.2225,0.25
59,59,0.899,0.875,0.925,0.23399999999999999,0.2225,0.25
60,60,0.9020000000000001,0.875,0.925,0.23500000000000001,0.2225,0.25
61,61,0.9020000000000001,0.875,0.93,0.22999999999999998,0.2125,0.2475
62,62,0.897,0.875,0.925,0.231,0.22,0.24
63,63,0.897,0.875,0.925,0.22899999999999995,0.2125,0.24
64,64,0.8950000000000001,0.875,0.91,0.22799999999999998,0.22,0.24
65,65,0.8949999999999999,0.87,0.925,0.227,0.2125,0.2375
66,66,0.893,0.87,0.91,0.22799999999999998,0.2125,0.2375
67,67,0.893,0.87,0.91,0.22599999999999998,0.2125,0.2375
68,68,0.891,0.87,0.91,0.22600000000000003,0.22,0.2375
69,69,0.891,0.87,0.91,0.225,0.2125,0.2375
70,70,0.892,0.87,0.925,0.225,0.2125,0.2375
71,71,0.8940000000000001,0.875,0.925,0.22399999999999998,0.21,0.2375
72,72,0.8939999999999999,0.89,0.91,0.225,0.21,0.2375
73,73,0.8930000000000001,0.875,0.91,0.22200000000000003,0.21,0.23
74,74,0.897,0.875,0.925,0.21999999999999997,0.2025,0.235
75,75,0.892,0.875,0.91,0.22000000000000003,0.2025,0.23
76,76,0.8899999999999999,0.875,0.91,0.221,0.21,0.2275
77,77,0.892,0.875,0.91,0.21999999999999997,0.21,0.235
78,78,0.892,0.875,0.91,0.21999999999999997,0.21,0.235
79,79,0.8949999999999999,0.875,0.91,0.219,0.2025,0.235
80,80,0.8949999999999999,0.875,0.91,0.21800000000000003,0.2025,0.2275
81,81,0.8949999999999999,0.875,0.91,0.21799999999999997,0.2025,0.235
82,82,0.893,0.875,0.91,0.217,0.2025,0.2275
83,83,0.893,0.875,0.91,0.21600000000000003,0.2025,0.2275
84,84,0.893,0.875,0.91,0.21600000000000003,0.2025,0.2275
85,85,0.892,0.875,0.91,0.21600000000000003,0.2025,0.2275
86,86,0.8859999999999999,0.87,0.905,0.21400000000000002,0.195,0.2275
87,87,0.8859999999999999,0.87,0.91,0.215,0.2025,0.2275
88,88,0.8859999999999999,0.87,0.91,0.215,0.2025,0.2275
89,89,0.8879999999999999,0.87,0.91,0.21600000000000003,0.2025,0.2275
90,90,0.884,0.87,0.91,0.215,0.2,0.2275
91,91,0.889,0.87,0.91,0.213,0.2,0.2275
92,92,0.891,0.87,0.91,0.213,0.2,0.2275
93,93,0.8879999999999999,0.87,0.91,0.213,0.2,0.2275
94,94,0.889,0.87,0.91,0.21400000000000002,0.2,0.2275
95,95,0.889,0.87,0.91,0.213,0.2,0.2275
96,96,0.8859999999999999,0.87,0.91,0.213,0.2,0.2275
97,97,0.8879999999999999,0.87,0.91,0.21200000000000002,0.2,0.2275
