Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9719999999999999,0.96,0.995,0.223,0.2025,0.2475
1,1,0.974,0.96,1.0,0.21799999999999997,0.2,0.24
2,2,0.968,0.96,0.98,0.213,0.2,0.22
3,3,0.9719999999999999,0.96,0.995,0.20900000000000002,0.1925,0.23
4,4,0.97,0.96,0.995,0.205,0.19,0.225
5,5,0.959,0.96,0.98,0.199,0.19,0.2175
6,6,0.9650000000000001,0.96,0.995,0.19999999999999998,0.19,0.2175
7,7,0.9629999999999999,0.96,0.995,0.196,0.19,0.21500000000000002
8,8,0.9629999999999999,0.96,0.995,0.189,0.175,0.2
9,9,0.966,0.96,0.98,0.187,0.175,0.19
10,10,0.9630000000000001,0.96,0.995,0.187,0.1725,0.2
11,11,0.961,0.96,0.98,0.18699999999999997,0.18,0.2
12,12,0.959,0.96,0.98,0.18299999999999997,0.18,0.1975
13,13,0.959,0.96,0.98,0.18199999999999997,0.1725,0.1975
14,14,0.958,0.945,0.98,0.179,0.17,0.1975
15,15,0.951,0.945,0.98,0.176,0.1625,0.19
16,16,0.953,0.945,0.98,0.172,0.16,0.1875
17,17,0.953,0.945,0.98,0.17099999999999999,0.16,0.1875
18,18,0.9550000000000001,0.96,0.98,0.16999999999999998,0.16,0.18500000000000003
19,19,0.952,0.93,0.98,0.16799999999999998,0.1525,0.18500000000000003
20,20,0.951,0.93,0.98,0.164,0.1525,0.18500000000000003
21,21,0.9549999999999998,0.945,0.98,0.16299999999999998,0.1525,0.18500000000000003
22,22,0.953,0.96,0.98,0.16299999999999998,0.1525,0.18500000000000003
23,23,0.9559999999999998,0.945,0.98,0.16,0.15,0.18250000000000002
24,24,0.954,0.945,0.98,0.16099999999999998,0.15,0.18250000000000002
25,25,0.9499999999999998,0.945,0.98,0.15799999999999997,0.15,0.17500000000000002
26,26,0.952,0.945,0.98,0.16099999999999998,0.1525,0.17750000000000002
27,27,0.954,0.945,0.98,0.15899999999999997,0.15,0.17500000000000002
28,28,0.954,0.945,0.98,0.15499999999999997,0.15,0.1675
29,29,0.954,0.945,0.98,0.15499999999999997,0.15,0.17500000000000002
30,30,0.954,0.945,0.975,0.154,0.14250000000000002,0.17500000000000002
31,31,0.952,0.945,0.96,0.15300000000000002,0.14250000000000002,0.1675
32,32,0.952,0.945,0.975,0.154,0.14,0.17500000000000002
33,33,0.9479999999999998,0.945,0.975,0.154,0.14250000000000002,0.1675
34,34,0.946,0.945,0.96,0.15099999999999997,0.14250000000000002,0.165
35,35,0.943,0.945,0.96,0.14899999999999997,0.14250000000000002,0.165
36,36,0.943,0.945,0.96,0.14700000000000002,0.14,0.1575
