Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9960000000000001,1.0,1.0,0.45699999999999996,0.4325,0.4775
1,1,0.994,1.0,1.0,0.45499999999999996,0.4225,0.4825
2,2,0.9960000000000001,1.0,1.0,0.45499999999999996,0.4225,0.4775
3,3,0.9960000000000001,1.0,1.0,0.45599999999999996,0.425,0.47
4,4,0.9960000000000001,1.0,1.0,0.45599999999999996,0.425,0.46749999999999997
5,5,0.9960000000000001,1.0,1.0,0.457,0.4275,0.46749999999999997
6,6,0.9940000000000001,0.985,1.0,0.45899999999999996,0.45,0.46749999999999997
7,7,0.9940000000000001,0.985,1.0,0.45999999999999996,0.445,0.47
8,8,0.9960000000000001,1.0,1.0,0.45999999999999996,0.445,0.4775
9,9,0.9940000000000001,0.985,1.0,0.45999999999999996,0.46,0.47
10,10,0.9960000000000001,1.0,1.0,0.462,0.4525,0.4775
11,11,0.9960000000000001,1.0,1.0,0.46399999999999997,0.46,0.4775
12,12,0.9960000000000001,1.0,1.0,0.46299999999999997,0.4525,0.485
13,13,0.9960000000000001,1.0,1.0,0.45999999999999996,0.4525,0.4775
14,14,0.9960000000000001,1.0,1.0,0.4600000000000001,0.4425,0.4775
15,15,0.998,1.0,1.0,0.462,0.45,0.4775
16,16,0.9960000000000001,1.0,1.0,0.46499999999999997,0.4525,0.4775
17,17,0.998,1.0,1.0,0.46499999999999997,0.45,0.4775
18,18,0.998,1.0,1.0,0.466,0.4525,0.4775
19,19,0.998,1.0,1.0,0.46299999999999997,0.45,0.475
20,20,0.998,1.0,1.0,0.462,0.4525,0.4775
21,21,0.998,1.0,1.0,0.462,0.4525,0.4775
22,22,0.998,1.0,1.0,0.45999999999999996,0.45,0.48
23,23,0.998,1.0,1.0,0.45999999999999996,0.45,0.48
24,24,0.998,1.0,1.0,0.45899999999999996,0.4425,0.48
25,25,0.998,1.0,1.0,0.45999999999999996,0.4425,0.48
26,26,0.998,1.0,1.0,0.457,0.4425,0.4775
27,27,0.998,1.0,1.0,0.45499999999999996,0.4425,0.47
28,28,0.998,1.0,1.0,0.454,0.435,0.47
29,29,0.998,1.0,1.0,0.45200000000000007,0.435,0.47
30,30,0.998,1.0,1.0,0.453,0.435,0.47
31,31,0.998,1.0,1.0,0.45200000000000007,0.435,0.47
32,32,0.998,1.0,1.0,0.449,0.4275,0.47
33,33,0.998,1.0,1.0,0.44700000000000006,0.425,0.47
34,34,0.998,1.0,1.0,0.445,0.425,0.46749999999999997
35,35,0.998,1.0,1.0,0.446,0.4275,0.46749999999999997
36,36,0.998,1.0,1.0,0.44800000000000006,0.4275,0.46749999999999997
37,37,0.998,1.0,1.0,0.45,0.435,0.46749999999999997
38,38,0.998,1.0,1.0,0.45100000000000007,0.4375,0.46
39,39,0.998,1.0,1.0,0.45200000000000007,0.4375,0.46749999999999997
40,40,0.998,1.0,1.0,0.45499999999999996,0.445,0.47
41,41,0.998,1.0,1.0,0.45500000000000007,0.4525,0.47
42,42,0.998,1.0,1.0,0.45199999999999996,0.445,0.47
43,43,0.998,1.0,1.0,0.45,0.445,0.46749999999999997
44,44,1.0,1.0,1.0,0.45,0.445,0.46749999999999997
45,45,0.998,1.0,1.0,0.449,0.4425,0.46749999999999997
46,46,1.0,1.0,1.0,0.45,0.4425,0.47
47,47,1.0,1.0,1.0,0.449,0.4425,0.47
48,48,1.0,1.0,1.0,0.44800000000000006,0.45,0.46749999999999997
49,49,1.0,1.0,1.0,0.4490000000000001,0.45,0.47
50,50,1.0,1.0,1.0,0.44800000000000006,0.45,0.46
51,51,1.0,1.0,1.0,0.446,0.45,0.46
52,52,1.0,1.0,1.0,0.44300000000000006,0.4425,0.46
53,53,1.0,1.0,1.0,0.4440000000000001,0.4425,0.46
54,54,1.0,1.0,1.0,0.4450000000000001,0.4425,0.46
55,55,1.0,1.0,1.0,0.44200000000000006,0.44,0.4575
56,56,1.0,1.0,1.0,0.44400000000000006,0.45,0.4575
57,57,1.0,1.0,1.0,0.44200000000000006,0.4425,0.4575
58,58,1.0,1.0,1.0,0.441,0.435,0.4575
59,59,1.0,1.0,1.0,0.441,0.435,0.4575
60,60,1.0,1.0,1.0,0.44299999999999995,0.435,0.4575
61,61,1.0,1.0,1.0,0.44400000000000006,0.4425,0.4575
62,62,1.0,1.0,1.0,0.44400000000000006,0.4425,0.4575
63,63,1.0,1.0,1.0,0.4450000000000001,0.4425,0.4575
64,64,1.0,1.0,1.0,0.44400000000000006,0.435,0.4575
65,65,1.0,1.0,1.0,0.44400000000000006,0.435,0.4575
66,66,1.0,1.0,1.0,0.4450000000000001,0.4425,0.4575
67,67,1.0,1.0,1.0,0.44600000000000006,0.4425,0.46
68,68,1.0,1.0,1.0,0.44600000000000006,0.4425,0.46
69,69,1.0,1.0,1.0,0.44600000000000006,0.4425,0.46
70,70,1.0,1.0,1.0,0.4450000000000001,0.4425,0.46
71,71,1.0,1.0,1.0,0.44800000000000006,0.45,0.46
72,72,1.0,1.0,1.0,0.4450000000000001,0.4425,0.46
73,73,1.0,1.0,1.0,0.4480000000000001,0.4425,0.46
