Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.966,0.95,0.995,0.242,0.2225,0.25
1,1,0.959,0.95,0.9775,0.23700000000000002,0.23,0.24
2,2,0.958,0.95,0.9775,0.231,0.215,0.2375
3,3,0.959,0.9424999999999999,0.98,0.225,0.2125,0.23
4,4,0.9610000000000001,0.9424999999999999,0.98,0.223,0.21,0.23
5,5,0.9590000000000002,0.95,0.9775,0.21799999999999997,0.1925,0.23
6,6,0.9550000000000001,0.94,0.9775,0.211,0.1925,0.22
7,7,0.9600000000000002,0.95,0.97,0.207,0.1925,0.22
8,8,0.9620000000000001,0.95,0.98,0.202,0.18,0.2175
9,9,0.9620000000000001,0.95,0.98,0.19999999999999998,0.18,0.21
10,10,0.9620000000000001,0.95,0.98,0.19699999999999998,0.1725,0.21
11,11,0.9629999999999999,0.95,0.98,0.19299999999999998,0.1725,0.2
12,12,0.9629999999999999,0.95,0.98,0.19299999999999998,0.17,0.21
13,13,0.96,0.95,0.98,0.18999999999999997,0.1625,0.2
14,14,0.9570000000000001,0.95,0.98,0.18999999999999997,0.17,0.2
15,15,0.962,0.95,0.98,0.18899999999999997,0.1625,0.2
16,16,0.9650000000000001,0.95,0.98,0.18499999999999997,0.16,0.1975
17,17,0.9629999999999999,0.95,0.98,0.18199999999999997,0.16,0.19
18,18,0.966,0.95,0.98,0.17699999999999996,0.16,0.19
19,19,0.9629999999999999,0.95,0.98,0.17699999999999996,0.16,0.18
20,20,0.96,0.95,0.98,0.175,0.1625,0.18
21,21,0.954,0.9424999999999999,0.9724999999999999,0.17499999999999996,0.15749999999999997,0.18
22,22,0.9579999999999999,0.9424999999999999,0.9775,0.17399999999999996,0.1625,0.18
23,23,0.9639999999999999,0.95,0.9775,0.174,0.1625,0.1875
24,24,0.962,0.9424999999999999,0.9775,0.17099999999999999,0.155,0.18500000000000003
25,25,0.96,0.9424999999999999,0.9775,0.16999999999999998,0.1525,0.18500000000000003
26,26,0.96,0.9424999999999999,0.9775,0.16899999999999998,0.16,0.17750000000000002
27,27,0.959,0.9424999999999999,0.97,0.16599999999999998,0.1525,0.17
28,28,0.9640000000000001,0.9549999999999998,0.97,0.164,0.1525,0.17
29,29,0.966,0.9549999999999998,0.97,0.16299999999999998,0.15,0.17
30,30,0.9629999999999999,0.9549999999999998,0.9775,0.16399999999999998,0.15,0.17
31,31,0.968,0.9549999999999998,0.98,0.16099999999999998,0.14250000000000002,0.17
32,32,0.966,0.95,0.98,0.16,0.14,0.17
33,33,0.9649999999999999,0.95,0.98,0.15899999999999997,0.14,0.17
34,34,0.9649999999999999,0.95,0.98,0.158,0.14250000000000002,0.1675
35,35,0.966,0.9549999999999998,0.98,0.158,0.14,0.17
36,36,0.967,0.9549999999999998,0.98,0.156,0.14,0.1675
37,37,0.9649999999999999,0.95,0.98,0.15699999999999997,0.14250000000000002,0.1675
38,38,0.961,0.95,0.9775,0.15699999999999997,0.15,0.1675
39,39,0.9579999999999999,0.9424999999999999,0.9775,0.15499999999999997,0.14250000000000002,0.1675
40,40,0.961,0.9424999999999999,0.98,0.156,0.14,0.17500000000000002
41,41,0.961,0.9424999999999999,0.98,0.15699999999999997,0.15,0.17750000000000002
42,42,0.9579999999999999,0.9424999999999999,0.9775,0.156,0.15,0.17
43,43,0.958,0.9424999999999999,0.9775,0.15499999999999997,0.15,0.1675
44,44,0.961,0.95,0.9775,0.15399999999999997,0.14250000000000002,0.17
45,45,0.9629999999999999,0.95,0.98,0.15299999999999997,0.14,0.17
46,46,0.9630000000000001,0.95,0.9775,0.154,0.14,0.17
47,47,0.962,0.9424999999999999,0.9775,0.15499999999999997,0.14,0.17
48,48,0.9650000000000001,0.95,0.9775,0.15499999999999997,0.14,0.17
49,49,0.9629999999999999,0.95,0.9775,0.152,0.14,0.1675
50,50,0.96,0.95,0.9775,0.15,0.1325,0.1675
51,51,0.9630000000000001,0.95,0.9775,0.15,0.1325,0.1675
52,52,0.962,0.95,0.9775,0.15,0.1325,0.1675
53,53,0.96,0.9424999999999999,0.9775,0.148,0.1325,0.16
54,54,0.959,0.9424999999999999,0.97,0.14699999999999996,0.13,0.1575
55,55,0.96,0.9424999999999999,0.9775,0.146,0.13,0.1575
56,56,0.9589999999999999,0.95,0.9724999999999999,0.14699999999999996,0.1325,0.1575
57,57,0.9589999999999999,0.95,0.9724999999999999,0.146,0.13,0.1575
58,58,0.9579999999999999,0.9424999999999999,0.9724999999999999,0.14500000000000002,0.13,0.165
59,59,0.962,0.9424999999999999,0.9775,0.144,0.13,0.1575
60,60,0.962,0.9424999999999999,0.9775,0.14300000000000002,0.13,0.1575
61,61,0.958,0.9424999999999999,0.9775,0.14300000000000002,0.13,0.1575
62,62,0.962,0.9424999999999999,0.9775,0.14300000000000002,0.13,0.1575
63,63,0.96,0.9424999999999999,0.9775,0.14300000000000002,0.1225,0.165
64,64,0.96,0.9424999999999999,0.9775,0.141,0.1225,0.1575
65,65,0.959,0.9424999999999999,0.97,0.14400000000000002,0.13,0.165
66,66,0.9549999999999998,0.94,0.97,0.14,0.1225,0.1575
67,67,0.9560000000000001,0.94,0.97,0.138,0.12,0.1575
68,68,0.953,0.94,0.97,0.138,0.12,0.1575
69,69,0.9509999999999998,0.94,0.9650000000000001,0.139,0.12,0.1575
70,70,0.9509999999999998,0.94,0.9650000000000001,0.13800000000000004,0.12,0.155
71,71,0.9509999999999998,0.94,0.9650000000000001,0.139,0.12,0.1575
72,72,0.9499999999999998,0.94,0.9650000000000001,0.139,0.12,0.1575
73,73,0.9519999999999997,0.94,0.9650000000000001,0.13799999999999998,0.12,0.1575
74,74,0.9519999999999997,0.94,0.9650000000000001,0.13600000000000004,0.12,0.155
75,75,0.9519999999999997,0.94,0.9650000000000001,0.13800000000000004,0.12,0.155
76,76,0.9539999999999997,0.94,0.9650000000000001,0.13800000000000004,0.12,0.155
77,77,0.9519999999999997,0.94,0.9650000000000001,0.137,0.12,0.1575
78,78,0.9519999999999997,0.94,0.9650000000000001,0.137,0.12,0.1575
79,79,0.9529999999999997,0.94,0.9650000000000001,0.137,0.12,0.155
80,80,0.9569999999999999,0.94,0.9724999999999999,0.137,0.12,0.155
81,81,0.9519999999999997,0.94,0.9650000000000001,0.13600000000000004,0.12,0.155
82,82,0.9559999999999997,0.94,0.9650000000000001,0.137,0.12,0.155
83,83,0.9569999999999999,0.94,0.9724999999999999,0.137,0.12,0.155
84,84,0.9549999999999997,0.94,0.9650000000000001,0.13500000000000004,0.12,0.155
85,85,0.9559999999999997,0.94,0.9724999999999999,0.13600000000000004,0.12,0.155
86,86,0.9569999999999999,0.94,0.9724999999999999,0.13600000000000004,0.12,0.155
87,87,0.9549999999999998,0.9424999999999999,0.9650000000000001,0.13600000000000004,0.12,0.155
88,88,0.9559999999999998,0.9424999999999999,0.9724999999999999,0.13600000000000004,0.12,0.155
89,89,0.9559999999999998,0.9424999999999999,0.9724999999999999,0.13500000000000004,0.12,0.155
90,90,0.9579999999999999,0.9424999999999999,0.9724999999999999,0.13500000000000004,0.12,0.155
91,91,0.9559999999999998,0.9424999999999999,0.9724999999999999,0.13500000000000004,0.12,0.155
92,92,0.9559999999999998,0.9424999999999999,0.9724999999999999,0.13500000000000004,0.12,0.155
93,93,0.9569999999999999,0.95,0.9724999999999999,0.13500000000000004,0.12,0.155
94,94,0.9589999999999999,0.95,0.9724999999999999,0.136,0.12,0.155
95,95,0.9589999999999999,0.95,0.9724999999999999,0.136,0.12,0.155
96,96,0.961,0.95,0.9775,0.13500000000000004,0.12,0.155
97,97,0.9589999999999999,0.94,0.9775,0.136,0.12,0.155
98,98,0.9589999999999999,0.94,0.9775,0.136,0.12,0.155
99,99,0.9599999999999997,0.9424999999999999,0.9775,0.134,0.12,0.155
100,100,0.9599999999999997,0.95,0.97,0.13500000000000004,0.12,0.155
101,101,0.9629999999999999,0.95,0.98,0.134,0.12,0.155
102,102,0.962,0.95,0.98,0.134,0.12,0.155
103,103,0.9639999999999999,0.95,0.98,0.134,0.12,0.155
104,104,0.962,0.95,0.98,0.13300000000000003,0.12,0.1475
105,105,0.962,0.95,0.98,0.132,0.12,0.1475
106,106,0.962,0.95,0.98,0.132,0.12,0.1475
107,107,0.9639999999999999,0.95,0.98,0.132,0.12,0.1475
108,108,0.9639999999999999,0.95,0.98,0.132,0.12,0.1475
109,109,0.962,0.95,0.98,0.13300000000000003,0.12,0.1475
110,110,0.9639999999999999,0.95,0.98,0.13300000000000003,0.12,0.1475
111,111,0.9639999999999999,0.95,0.9775,0.13100000000000003,0.12,0.145
112,112,0.9589999999999999,0.95,0.9775,0.132,0.12,0.1475
113,113,0.9589999999999999,0.95,0.9775,0.13100000000000003,0.12,0.145
114,114,0.9569999999999999,0.95,0.9775,0.13,0.1125,0.145
115,115,0.9549999999999998,0.9424999999999999,0.97,0.13,0.1125,0.145
116,116,0.9549999999999998,0.9424999999999999,0.97,0.13,0.1125,0.145
117,117,0.9599999999999997,0.9424999999999999,0.9775,0.13100000000000003,0.1125,0.1475
118,118,0.9579999999999999,0.95,0.97,0.13,0.1125,0.145
119,119,0.9609999999999997,0.95,0.9775,0.12900000000000003,0.1125,0.145
120,120,0.9609999999999997,0.95,0.9775,0.132,0.1125,0.155
121,121,0.9609999999999997,0.95,0.9775,0.13,0.1125,0.1475
122,122,0.9589999999999999,0.95,0.9775,0.13,0.11,0.155
123,123,0.9589999999999999,0.95,0.9775,0.132,0.1125,0.155
124,124,0.9609999999999997,0.95,0.9775,0.13100000000000003,0.1125,0.155
125,125,0.9609999999999997,0.95,0.9775,0.13,0.1125,0.1475
126,126,0.9589999999999999,0.95,0.9775,0.13,0.1125,0.1475
127,127,0.9569999999999999,0.95,0.9775,0.12900000000000003,0.1125,0.1475
128,128,0.9589999999999999,0.95,0.9775,0.13,0.1125,0.1475
129,129,0.9589999999999999,0.95,0.9775,0.12900000000000003,0.1125,0.1475
130,130,0.9609999999999997,0.95,0.9775,0.12900000000000003,0.1125,0.1475
131,131,0.9609999999999997,0.95,0.9775,0.128,0.11,0.1475
132,132,0.9579999999999999,0.95,0.97,0.128,0.11,0.1475
133,133,0.9579999999999999,0.95,0.97,0.128,0.11,0.1475
134,134,0.9559999999999998,0.95,0.97,0.128,0.1125,0.1475
135,135,0.9569999999999999,0.95,0.9775,0.12700000000000003,0.11,0.1475
136,136,0.9559999999999998,0.95,0.97,0.12700000000000003,0.11,0.1475
137,137,0.9559999999999998,0.95,0.97,0.12700000000000003,0.1125,0.145
138,138,0.9559999999999998,0.95,0.97,0.12700000000000003,0.1125,0.145
139,139,0.9559999999999998,0.95,0.97,0.128,0.1125,0.145
140,140,0.9549999999999998,0.95,0.9775,0.12700000000000003,0.1125,0.145
141,141,0.9549999999999998,0.95,0.9775,0.128,0.1125,0.145
142,142,0.9549999999999998,0.95,0.9775,0.12700000000000003,0.1125,0.1425
143,143,0.9549999999999998,0.95,0.9775,0.12700000000000003,0.1125,0.1425
144,144,0.9569999999999999,0.95,0.9775,0.12700000000000003,0.1125,0.1425
145,145,0.9549999999999998,0.95,0.9775,0.12700000000000003,0.1125,0.1375
146,146,0.9589999999999999,0.95,0.9775,0.126,0.1125,0.135
147,147,0.9549999999999998,0.95,0.9775,0.12700000000000003,0.1125,0.1425
148,148,0.954,0.95,0.97,0.126,0.1125,0.1425
