Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9890000000000002,0.98,1.0,0.488,0.4025,0.5575000000000001
1,1,0.9890000000000002,0.98,1.0,0.491,0.405,0.565
2,2,0.9920000000000002,0.98,1.0,0.484,0.4125,0.5575000000000001
3,3,0.9940000000000001,0.985,1.0,0.483,0.405,0.56
4,4,0.9920000000000002,0.98,1.0,0.479,0.39499999999999996,0.5475000000000001
5,5,0.9940000000000001,0.985,1.0,0.4760000000000001,0.4025,0.5525
6,6,0.99,0.98,1.0,0.475,0.405,0.5475000000000001
7,7,0.992,0.98,1.0,0.47400000000000003,0.40750000000000003,0.5375000000000001
8,8,0.9960000000000001,1.0,1.0,0.4710000000000001,0.415,0.525
9,9,0.9960000000000001,1.0,1.0,0.466,0.415,0.5175000000000001
10,10,0.998,1.0,1.0,0.4640000000000001,0.40750000000000003,0.525
11,11,0.998,1.0,1.0,0.461,0.4125,0.5325
12,12,0.998,1.0,1.0,0.45999999999999996,0.405,0.535
13,13,0.998,1.0,1.0,0.457,0.405,0.52
14,14,0.998,1.0,1.0,0.45600000000000007,0.39999999999999997,0.525
15,15,0.998,1.0,1.0,0.454,0.39999999999999997,0.525
16,16,0.998,1.0,1.0,0.457,0.40750000000000003,0.525
17,17,0.998,1.0,1.0,0.45200000000000007,0.405,0.52
18,18,0.998,1.0,1.0,0.44700000000000006,0.39499999999999996,0.5125
19,19,0.998,1.0,1.0,0.45,0.39749999999999996,0.5125
20,20,0.998,1.0,1.0,0.44800000000000006,0.39749999999999996,0.5025
21,21,0.998,1.0,1.0,0.449,0.39749999999999996,0.505
22,22,0.998,1.0,1.0,0.44700000000000006,0.39749999999999996,0.505
23,23,0.998,1.0,1.0,0.44700000000000006,0.39499999999999996,0.505
24,24,0.998,1.0,1.0,0.44800000000000006,0.39749999999999996,0.4975
25,25,0.998,1.0,1.0,0.45299999999999996,0.405,0.4975
26,26,0.9960000000000001,1.0,1.0,0.4539999999999999,0.405,0.505
27,27,0.9960000000000001,1.0,1.0,0.45499999999999996,0.415,0.505
28,28,0.9960000000000001,1.0,1.0,0.45600000000000007,0.4175,0.5025
29,29,0.9960000000000001,1.0,1.0,0.4580000000000001,0.41000000000000003,0.505
30,30,0.9960000000000001,1.0,1.0,0.458,0.40750000000000003,0.5125
31,31,0.9960000000000001,1.0,1.0,0.458,0.40750000000000003,0.5125
32,32,0.9960000000000001,1.0,1.0,0.457,0.4125,0.505
33,33,0.9960000000000001,1.0,1.0,0.45599999999999996,0.40750000000000003,0.505
34,34,0.998,1.0,1.0,0.45299999999999996,0.405,0.505
35,35,0.998,1.0,1.0,0.45599999999999996,0.40750000000000003,0.5
36,36,0.998,1.0,1.0,0.45499999999999996,0.40750000000000003,0.5
37,37,0.998,1.0,1.0,0.454,0.405,0.5075000000000001
38,38,0.998,1.0,1.0,0.45600000000000007,0.405,0.5
39,39,0.998,1.0,1.0,0.45600000000000007,0.405,0.4975
40,40,0.998,1.0,1.0,0.458,0.41,0.515
41,41,0.998,1.0,1.0,0.45499999999999996,0.4025,0.515
42,42,0.998,1.0,1.0,0.454,0.4025,0.515
43,43,0.994,0.985,1.0,0.454,0.4025,0.5075000000000001
44,44,0.994,0.985,1.0,0.4530000000000001,0.4025,0.505
45,45,0.9960000000000001,1.0,1.0,0.45199999999999996,0.4025,0.505
46,46,0.9960000000000001,1.0,1.0,0.45099999999999996,0.4025,0.4975
47,47,0.994,0.985,1.0,0.45199999999999996,0.39499999999999996,0.505
48,48,0.9960000000000001,1.0,1.0,0.4530000000000001,0.39499999999999996,0.505
49,49,0.9960000000000001,1.0,1.0,0.45499999999999996,0.39499999999999996,0.5175000000000001
50,50,0.998,1.0,1.0,0.454,0.39249999999999996,0.5175000000000001
51,51,0.998,1.0,1.0,0.45500000000000007,0.39249999999999996,0.52
52,52,0.9960000000000001,1.0,1.0,0.45200000000000007,0.385,0.52
53,53,0.9940000000000001,0.985,1.0,0.45099999999999996,0.385,0.5275000000000001
